cmt2id,res,res2id,count
5791,"['85edd63b704c875cdceb372aa771c15c35e2696f', 'ce2251b017caa9a227b9c9a5edfcb251628f0e95', '4700273660d38f7d3c13975a7f2af4344ec7c288', '8cfa849588659e9dfcaa4f2f2ab66472bdbd5515', '0aa8980d4001336f5b85f2cfbd10f99cb4ca27c9', 'bb15151bcabdec4ee97f919be1cdffc24649c1e8', '63af35eb5144267f438215fcaca156b59d284c79']","[5789, 5790, 5791, 5792, 5793, 5794, 5795]",7
5230,"['a512148eca50451bb34a59cd47b0a8b2bbbaffdc', '52be687e2f7ab1b5957c93aafa812c56e085c588', '864b4e5a19c0c8d4761e7c6fbc34bc746d5b2e0c', 'f8ab3887ccdccd3de26c0073af050b259e9f66a1', '0418e0f148ce86f3a006c4032b4c63622a625c55', '11cc49bc407ac7c567adb4568bfcd4aa4b696af3', '4189b3671da16e2ee9cc6051462c76474321bce8', '99acad68a12c5ad8bdd75c073a1203c183d75da6', 'c9c4c31e092df039199de196410784ccc90dded6', '0dc7711736071fdc8835964fb9f5c4e9151e2f32', 'a1dfaa7c6e3cca8a96e7c74ee58048c993e4fa22', '8af03c149c2316c390cdfd5302932ec5b0de07e0']","[5224, 5225, 5226, 5228, 5229, 5230, 5231, 5232, 5233, 5234, 5237, 5241]",12
5081,"['60431adfbe83c493383e8f441882e521edec754b', 'b353cadea4b536c69134b521381efca161dadf26', '603d70a707f853d6ae641d648ed1926026794c6d', '0c5a3dc480311dff2d39e809f846200bf62be2a2', '71624acd45577fb09d15babbff801b04e427b604', '9134adad6d3525b94957617b69d992f8993f9fdb', 'f395c2dfcb0804db87c22809f5a219d3b143629a', 'd9091561a1bf91589faf71c7ec012e13437341cf', 'f2bf1fe15f6ca37bd16b9cf7e2cf7caa614149a2', '451f0f4589960ae291b191f48242ae899f5e53ef', 'a165a519a36a7bae8969664a477f877591e646da', 'c9e80fa92b37f57b777371015c07f0a348afb828', '5c49bc2ef1197985619dd32c8451f067e96d60e1', 'fc3b3a8a21c6390c626c32e3620cd61a23570e54']","[5070, 5071, 5072, 5073, 5077, 5078, 5079, 5080, 5081, 5082, 5083, 5084, 5085, 5086]",14
4834,"['81b334ce53a512dcf400bbc78f314101d306a45b', 'e8ac3adbcf8c796d12f3974b4b9b429db7ecde22', 'f69c1b853f14b92c8669c747cf5b8f6d59eb37cc', 'a1eedfdeea46f2a8da0ed23f06e7e1d39050499b', 'dbeb8288fd678c1f6be0667f68bc084f467c366d', 'f66872d5e4ba6e9592db7186d5f86bd8cf837647', 'f72972102265ba12708f1e50d646091993b345b5', 'e2e90574eb1c9d31b17c0e2f24ef777f85a948d6', '06d5b7262f81a1dabd3f566fba24b4b15710aadc', '0076883028daff6a4460d00ac20360a107fb2bee', 'd132efa93d5651b61e7e2ab6276b5cc4bccaa13d']","[4831, 4832, 4833, 4834, 4835, 4836, 4837, 4838, 4839, 4844, 4847]",11
4657,"['121d489ae454be371ef12c5b47b31ad0272b86b7', '7b9558e4df5db3a2e0a43bc24ddb6cc05e6e80ec', 'a18e2c0188919e9d2fa77e9287f9a03196053b61', '1fae2f1943eeb35b46d7cd3081686e013dd86d07', '3b1b08a12b755b586394c1f3e94d3b34cf38d9b3', 'cff60fe6ec52a872ac49773c1d30255ef4eb23bc', '46b9b0e295b4d5400bbdbff70649a9ee70318aed', '7d5f1158363cf9e2201e15702a2fe5e23138531e', '9580cf245b8073800010e15673415f2aba407e7f', '847f54a530f85af079e39c89925a9f875655bc80', '52185aba802ec90e192bc559683f82e17e188a51', 'b23eccb786853552a55f3bfada11a29d22e86fe1', '35bc204f8769cefc6a33828ca32d6cf59f1d5e15', 'b515f6fd77532bf20f5d53ebb3323d05b787a3e5']","[4645, 4646, 4647, 4649, 4654, 4655, 4656, 4657, 4658, 4659, 4660, 4661, 4663, 4671]",14
4616,"['dda513bd7251b4f32b7b60b1c13740e3b5a43024', 'c8d1c71b072acde6af9aad7fb605ae5a1fd2699c', '63548e0b5e97cea465d7de436e2e7d88be0b2d21', '20634509d235368da480d00de37d3c2dfc04f74d', 'a977aadc9c20f6f5be111b7feca7809acd195d25', '9874f236011dbbbd716aa4780b34a82d32bdfdd2', '8413ab82490122ffd43b529cc92ddb1e6e655e39', 'e82eed4e640749b5c7cc658bfd4e291f5bf60b55', 'a55c4a9d4164794b0afec54a14d938c02ea6510f', '0604ce8d7c31dd70cca1d0e2646388091ef49092', 'e0cd19bc52dc4763f2059944b409c998c0e60af5', '535b1dca6d4a855626d65f8270717b1b68043b10', '80596b1601b45e40eedcaa7311ea07efacf8b9dd', '9e3c679ad2630292a46bd3704e70f9093a7a193b', '441b65c5bd9729ecda51a327417f2c6c9379f2d3']","[4611, 4613, 4614, 4615, 4616, 4617, 4618, 4619, 4623, 4624, 4625, 4626, 4627, 4628, 4629]",15
4466,"['c570b0ac9f83adefa710b4ed90c6da5ebe70cd13', 'e38a3a482114c8f17565641eceba906d371154fb', '9ee894c064ceeed8225fe41785f9c412f96594be', '16aac9d388960bd6db167f13fce3829c43ba8c54', 'b36c8ac5d8cfce192059fc7c278766e685bf8a6c', '3b5f1e5d375c76957324a80cdc53bdaa6acb96b4', '735d2ccd3aa3e534f8746bc59b966eb1886e6f2c', '3f942182890de88d99ad3eb18c2fca5540a029a0', '89a20255f98df78935b9aebeb5e080c02f8cbebc', '38f0b57d5f3c97ce669c815ddebfe4ee0b4ca20c', '53bdf77b778fd455308b646e1c158609752b91be', '30d0c07118c898862448aaf5c9ad050bbd18dfc8', '08dfdde2c9c2a17ee28fa007d5b60d4c47fce125', '396c4daed0cfe8d101b50a6f68320203151edd9f', '5f453187344922b21346100fe7f442922d0bd554', '0088a66cead424ad536464d992a8297d98a392f2', '68f0a960baff1a412faea3e7fb168dbe3c279ecc', 'b631af0dc6974db91f201c18958929b2b9b52e73', 'c50516de13bb747090413e40bcd213448d94ff2d', 'f3a6158795bb7f631176ae90c23d1b3dacf7f689', 'dd6d460348f89c7af7826633c57507bed2c2f6fa', 'ccbd8d1dfb622a1fe4fb3035bf2546832ab24425', '4a6627003d7a7bb4323d188b835add44c8bf34e4', '54c744c2c2007eb93dd756cc8581573c9bec97ac', '83c7c4347055c3a70a3115fa106aa69c9cb56456', '7f94bb3fd33d6220c532a32b7971184f38b1282a', 'db34ee03c4af2018296a5c0b0be452374d44572b']","[4462, 4463, 4464, 4465, 4466, 4467, 4468, 4469, 4470, 4471, 4472, 4473, 4474, 4475, 4476, 4477, 4478, 4479, 4481, 4482, 4483, 4484, 4485, 4486, 4487, 4488, 4489]",27
4347,"['f8c83ae9cc3cb87bc87131ee6bc45da2a8fd8867', 'afe24226bedd5efcca514ef06ef18c64b71c8c26', '5c95315ffbaf6f64bd3a2970a001ecce51c10032', '33ef4b0e6c4fef428c2c63896c79bfef7eff3ced', 'dd97c73da2970d393432d9e47059e510d4301433', 'a5b8f6372292ac01cf2d8916801800f438919231', '170a41441a694f163365b7ce4d02c98c00888b37']","[4345, 4346, 4347, 4348, 4349, 4350, 4351]",7
4314,"['ae75527a5e99a0b48919b857e7aeaa3ae172ac69', 'affd0c701e9f97bb7905f77b63ce99d2bce2d8f6', '8b1b40f3a8ab910a065d216e71cd40e7f0828415', 'fd14aab77e7f9757ada8a4b3a81bf9707b278661', 'cb24c3be017441e986d7bebb141625884bb70f2f']","[4312, 4313, 4314, 4315, 4316]",5
4244,"['8d2ccf305b32d22f9a0880242051855f3e96dccd', '43559bcc10d80226555d659081a53228949181d4', 'f90f8f4e34e48f1f281566a3e182f8faa9d859a3', 'd4f5fc1b1e53774b85188da1b4ebd5ed09ff6aa5', '5e5ba938f45d9863b6530b8b8df83ec05f1b32be', '9bd182938d9a01512417a49856a795d56b8a7aad', 'eb217dd0f87c5fb471e0668575644aa7eba9a3d3', 'dac9275b736167a77daed76d2acd64117bb2985f', '96150b70fe6448d264db7b82e90946e86db84227', '591cc05ec3227f8f6b7358b165e30ebd279fec40', '30878706bffa120081509a7136190d97a50af617', '85eb826d8cafd6a39e5ae6b9cd6b8df6be042c84', 'c4638e9101db231d08397f3fd21ef9b87cc9b6c9', '62e4132ca83eb55c8b4fe52035d78c3a3a1c9ad3', 'b40d5c4c5a4a197b51bf76d6dc24d94581485d7e', '6eee8f1665755d2fda42c59ce74cdafc29ca5554', 'fb3b85880619298295fbbbd988ff9387e39ccbe3', '29bdca23ea68a0bac24e52252ccc40c96f21dc98', '978798382ceb72229e5036aa1442943933d6d171', '4f16f67ebd22c7522fdbb8a7eb87e3026a807d61', 'bdb53782ed7cd61875b8082b895f63dbbb323b07']","[4240, 4242, 4243, 4244, 4245, 4247, 4252, 4253, 4254, 4255, 4256, 4257, 4258, 4259, 4260, 4264, 4265, 4266, 4267, 4270, 4271]",21
